Voltage (V),Current (A)
-0.32449,4.53598
-0.31428,4.37498
-0.30408,4.19298
-0.29387,4.06698
-0.28366,3.96198
-0.27346,3.83598
-0.26325,3.74498
-0.25304,3.70298
-0.24283,3.63298
-0.23263,3.55598
-0.22242,3.54898
-0.21221,3.52798
-0.202,3.47898
-0.19179,3.49298
-0.18159,3.50698
-0.17138,3.50348
-0.16117,3.51748
-0.15096,3.57348
-0.14076,3.60498
-0.13055,3.63298
-0.12034,3.73448
-0.11013,3.81848
-0.09993,3.88848
-0.08972,4.00398
-0.07951,4.14048
-0.0693,4.24898
-0.0591,4.37498
-0.04889,4.54648
-0.03868,4.71098
-0.02847,4.84398
-0.01827,5.05048
-0.00806,5.22898
0.00215,5.37248
0.01236,5.54223
0.02256,5.72422
0.03277,5.84847
0.04298,5.94472
0.05319,6.09522
0.06339,6.18447
0.0736,6.20197
0.08381,6.29647
0.09402,6.34197
0.10422,6.30872
0.11443,6.28772
0.12464,6.28072
0.13485,6.16697
0.14505,5.98147
0.15526,5.8686
0.16547,5.68485
0.17568,5.44335
0.18588,5.2771
0.19609,5.11698
0.2063,4.93323
0.21651,4.7941
0.22672,4.72498
0.23692,4.6506
0.24713,4.5701
0.25734,4.58848
0.26754,4.59635
0.27775,4.58498
0.28796,4.62873
0.29817,4.69173
0.30838,4.72673
0.31858,4.77048
0.32879,4.8711
0.339,4.94723
0.34921,4.99535
0.35941,5.12748
0.36962,5.24298
0.37983,5.3331
