Voltage (V),Current (A)
-0.32449,5.43898
-0.31428,5.23598
-0.30408,5.14498
-0.29387,5.08198
-0.28366,4.99798
-0.27346,4.92798
-0.26325,4.93848
-0.25304,4.93148
-0.24283,4.89648
-0.23263,4.97348
-0.22242,5.02948
-0.21221,5.05048
-0.202,5.14148
-0.19179,5.27798
-0.18159,5.37948
-0.17138,5.50197
-0.16117,5.73647
-0.15096,5.94297
-0.14076,6.13197
-0.13055,6.46797
-0.12034,6.81797
-0.11013,7.15047
-0.09993,7.57047
-0.08972,8.04996
-0.07951,8.48746
-0.0693,8.88646
-0.0591,9.41846
-0.04889,9.88046
-0.03868,10.24795
-0.02847,10.71695
-0.01827,11.12995
-0.00806,11.38545
0.00215,11.61645
0.01236,11.88945
0.02256,12.0137
0.03277,11.96645
0.04298,12.08895
0.05319,12.0487
0.06339,11.8212
0.0736,11.69345
0.08381,11.5412
0.09402,11.2052
0.10422,10.8132
0.11443,10.5122
0.12464,10.06246
0.13485,9.51821
0.14505,9.16471
0.15526,8.78146
0.16547,8.36846
0.17568,8.07796
0.18588,7.89421
0.19609,7.69996
0.2063,7.52847
0.21651,7.50747
0.22672,7.45497
0.23692,7.36047
0.24713,7.39547
0.25734,7.41997
0.26754,7.39372
0.27775,7.41472
0.28796,7.48297
0.29817,7.49172
0.30838,7.52409
0.31858,7.54247
0.32879,7.57922
0.339,7.55997
0.34921,7.62822
0.35941,7.70346
0.36962,7.72621
0.37983,7.77521
