Voltage (V),Current (A)
-0.32449,10.80795
-0.31428,10.76595
-0.30408,10.63995
-0.29387,10.66795
-0.28366,10.73095
-0.27346,10.70295
-0.26325,10.70995
-0.25304,10.87095
-0.24283,10.93395
-0.23263,10.96195
-0.22242,11.17195
-0.21221,11.33995
-0.202,11.42745
-0.19179,11.65495
-0.18159,11.94545
-0.17138,12.13095
-0.16117,12.35494
-0.15096,12.76094
-0.14076,13.10044
-0.13055,13.39444
-0.12034,13.95094
-0.11013,14.52143
-0.09993,14.99393
-0.08972,15.71143
-0.07951,16.60743
-0.0693,17.57692
-0.0591,18.56742
-0.04889,19.66641
-0.03868,20.41891
-0.02847,20.81791
-0.01827,21.3534
-0.00806,21.9169
0.00215,22.3824
0.01236,22.9074
0.02256,23.50589
0.03277,23.88039
0.04298,24.01689
0.05319,24.31439
0.06339,24.37389
0.0736,24.18139
0.08381,24.13239
0.09402,23.99239
0.10422,23.58989
0.11443,23.1279
0.12464,22.8339
0.13485,22.3474
0.14505,21.6719
0.15526,21.2519
0.16547,20.68491
0.17568,19.90791
0.18588,19.27441
0.19609,18.68642
0.2063,18.03192
0.21651,17.40542
0.22672,17.05192
0.23692,16.66692
0.24713,16.24693
0.25734,16.09993
0.26754,15.94943
0.27775,15.74293
0.28796,15.65193
0.29817,15.64843
0.30838,15.58193
0.31858,15.47343
0.32879,15.55743
0.339,15.57143
0.34921,15.49793
0.35941,15.57843
0.36962,15.64493
0.37983,15.63443
