Voltage (V),Current (A)
-0.32449,6.46797
-0.31428,6.29297
-0.30408,6.22997
-0.29387,6.20197
-0.28366,6.12497
-0.27346,6.06897
-0.26325,6.11797
-0.25304,6.12147
-0.24283,6.08297
-0.23263,6.17047
-0.22242,6.23697
-0.21221,6.26147
-0.202,6.35947
-0.19179,6.49247
-0.18159,6.57997
-0.17138,6.68497
-0.16117,6.90897
-0.15096,7.09097
-0.14076,7.24147
-0.13055,7.55297
-0.12034,7.86796
-0.11013,8.14796
-0.09993,8.53996
-0.08972,9.03346
-0.07951,9.49546
-0.0693,9.96096
-0.0591,10.58395
-0.04889,11.12645
-0.03868,11.55345
-0.02847,12.06445
-0.01827,12.52994
-0.00806,12.85894
0.00215,13.17744
0.01236,13.54844
0.02256,13.77594
0.03277,13.85294
0.04298,14.12944
0.05319,14.26244
0.06339,14.21694
0.0736,14.27644
0.08381,14.33419
0.09402,14.16968
0.10422,13.94219
0.11443,13.83019
0.12464,13.50119
0.13485,12.98844
0.14505,12.65769
0.15526,12.20795
0.16547,11.64095
0.17568,11.19645
0.18588,10.84295
0.19609,10.45795
0.2063,10.1132
0.21651,9.97321
0.22672,9.81046
0.23692,9.61446
0.24713,9.58996
0.25734,9.56546
0.26754,9.48496
0.27775,9.46571
0.28796,9.51821
0.29817,9.50421
0.30838,9.53439
0.31858,9.54096
0.32879,9.57421
0.339,9.54446
0.34921,9.61446
0.35941,9.69321
0.36962,9.71421
0.37983,9.75271
