Voltage (V),Current (A)
-0.32449,6.04097
-0.31428,5.91497
-0.30408,5.78897
-0.29387,5.75397
-0.28366,5.71197
-0.27346,5.61397
-0.26325,5.57897
-0.25304,5.60697
-0.24283,5.57897
-0.23263,5.52997
-0.22242,5.57897
-0.21221,5.60697
-0.202,5.59997
-0.19179,5.67697
-0.18159,5.74697
-0.17138,5.79597
-0.16117,5.87297
-0.15096,6.02697
-0.14076,6.13897
-0.13055,6.25447
-0.12034,6.47847
-0.11013,6.68497
-0.09993,6.88447
-0.08972,7.18197
-0.07951,7.52497
-0.0693,7.83996
-0.0591,8.15496
-0.04889,8.52246
-0.03868,8.81996
-0.02847,9.06496
-0.01827,9.39046
-0.00806,9.64596
0.00215,9.80346
0.01236,9.99071
0.02256,10.14995
0.03277,10.2252
0.04298,10.26195
0.05319,10.36695
0.06339,10.40895
0.0736,10.37745
0.08381,10.4457
0.09402,10.4527
0.10422,10.3477
0.11443,10.26895
0.12464,10.21295
0.13485,10.04145
0.14505,9.79821
0.15526,9.64421
0.16547,9.38871
0.17568,9.04746
0.18588,8.79896
0.19609,8.55221
0.2063,8.25996
0.21651,8.02196
0.22672,7.87671
0.23692,7.72096
0.24713,7.55997
0.25734,7.55297
0.26754,7.53372
0.27775,7.48122
0.28796,7.51447
0.29817,7.57922
0.30838,7.60197
0.31858,7.62822
0.32879,7.73846
0.339,7.80847
0.34921,7.83821
0.35941,7.97821
0.36962,8.09196
0.37983,8.16196
