Voltage (V),Current (A)
-0.32449,4.96298
-0.31428,4.81598
-0.30408,4.64098
-0.29387,4.57098
-0.28366,4.48698
-0.27346,4.36798
-0.26325,4.31198
-0.25304,4.29098
-0.24283,4.24198
-0.23263,4.18598
-0.22242,4.19298
-0.21221,4.19298
-0.202,4.16498
-0.19179,4.20698
-0.18159,4.24898
-0.17138,4.24898
-0.16117,4.29798
-0.15096,4.37848
-0.14076,4.43448
-0.13055,4.48698
-0.12034,4.61998
-0.11013,4.74598
-0.09993,4.84398
-0.08972,5.02248
-0.07951,5.22198
-0.0693,5.38998
-0.0591,5.56847
-0.04889,5.79247
-0.03868,5.97797
-0.02847,6.12847
-0.01827,6.35947
-0.00806,6.55547
0.00215,6.70422
0.01236,6.87572
0.02256,7.05072
0.03277,7.16972
0.04298,7.25897
0.05319,7.40772
0.06339,7.48822
0.0736,7.50747
0.08381,7.60197
0.09402,7.63872
0.10422,7.58447
0.11443,7.54334
0.12464,7.51622
0.13485,7.38409
0.14505,7.17672
0.15526,7.05159
0.16547,6.85122
0.17568,6.56772
0.18588,6.38135
0.19609,6.19322
0.2063,5.97797
0.21651,5.8161
0.22672,5.73472
0.23692,5.6446
0.24713,5.54485
0.25734,5.56497
0.26754,5.57285
0.27775,5.5536
0.28796,5.59997
0.29817,5.66647
0.30838,5.70147
0.31858,5.74435
0.32879,5.85285
0.339,5.92897
0.34921,5.97097
0.35941,6.10572
0.36962,6.22472
0.37983,6.30522
