Voltage (V),Current (A)
-0.32449,5.52297
-0.31428,5.42497
-0.30408,5.29898
-0.29387,5.28498
-0.28366,5.23598
-0.27346,5.16598
-0.26325,5.14498
-0.25304,5.15898
-0.24283,5.13098
-0.23263,5.08898
-0.22242,5.14498
-0.21221,5.17298
-0.202,5.17298
-0.19179,5.24298
-0.18159,5.31298
-0.17138,5.35498
-0.16117,5.43198
-0.15096,5.57897
-0.14076,5.68397
-0.13055,5.78197
-0.12034,5.99197
-0.11013,6.19147
-0.09993,6.37347
-0.08972,6.66747
-0.07951,7.02097
-0.0693,7.32897
-0.0591,7.59847
-0.04889,7.89246
-0.03868,8.13746
-0.02847,8.32646
-0.01827,8.60296
-0.00806,8.80246
0.00215,8.92846
0.01236,9.08246
0.02256,9.23471
0.03277,9.31696
0.04298,9.37296
0.05319,9.49546
0.06339,9.55671
0.0736,9.53046
0.08381,9.59871
0.09402,9.60921
0.10422,9.52696
0.11443,9.45871
0.12464,9.41321
0.13485,9.26446
0.14505,9.02296
0.15526,8.88471
0.16547,8.65021
0.17568,8.32821
0.18588,8.09896
0.19609,7.86971
0.2063,7.61071
0.21651,7.40422
0.22672,7.29047
0.23692,7.16272
0.24713,7.02972
0.25734,7.04022
0.26754,7.03672
0.27775,7.00697
0.28796,7.05247
0.29817,7.12597
0.30838,7.16097
0.31858,7.20297
0.32879,7.32197
0.339,7.40247
0.34921,7.44272
0.35941,7.59147
0.36962,7.71571
0.37983,7.79796












