Voltage (V),Current (A)
-0.32449,5.08898
-0.31428,4.95598
-0.30408,4.91398
-0.29387,4.89998
-0.28366,4.85448
-0.27346,4.80548
-0.26325,4.85798
-0.25304,4.87898
-0.24283,4.86498
-0.23263,4.96298
-0.22242,5.04348
-0.21221,5.09248
-0.202,5.20448
-0.19179,5.34098
-0.18159,5.43898
-0.17138,5.55797
-0.16117,5.79597
-0.15096,5.99897
-0.14076,6.18797
-0.13055,6.53447
-0.12034,6.88972
-0.11013,7.18372
-0.09993,7.51622
-0.08972,7.92746
-0.07951,8.27046
-0.0693,8.58021
-0.0591,9.00721
-0.04889,9.37121
-0.03868,9.66346
-0.02847,10.03271
-0.01827,10.36695
-0.00806,10.5752
0.00215,10.7817
0.01236,11.03195
0.02256,11.14045
0.03277,11.12995
0.04298,11.26645
0.05319,11.25245
0.06339,11.0722
0.0736,10.98295
0.08381,10.8517
0.09402,10.5472
0.10422,10.18495
0.11443,9.89971
0.12464,9.48321
0.13485,8.95121
0.14505,8.62396
0.15526,8.28971
0.16547,7.92396
0.17568,7.67721
0.18588,7.51972
0.19609,7.34647
0.2063,7.20297
0.21651,7.18022
0.22672,7.14609
0.23692,7.05684
0.24713,7.09097
0.25734,7.11547
0.26754,7.08834
0.27775,7.11197
0.28796,7.18109
0.29817,7.19334
0.30838,7.15484
0.31858,7.26159
0.32879,7.31497
0.339,7.31497
0.34921,7.40072
0.35941,7.50747
0.36962,7.56872
0.37983,7.64046





