Voltage (V),Current (A)
-0.32449,6.24397
-0.31428,6.09697
-0.30408,6.04097
-0.29387,6.01997
-0.28366,5.94297
-0.27346,5.90797
-0.26325,5.95347
-0.25304,5.96047
-0.24283,5.92547
-0.23263,6.01997
-0.22242,6.09347
-0.21221,6.11797
-0.202,6.21597
-0.19179,6.35247
-0.18159,6.43997
-0.17138,6.53797
-0.16117,6.75147
-0.15096,6.92647
-0.14076,7.06647
-0.13055,7.34997
-0.12034,7.65097
-0.11013,7.92046
-0.09993,8.28096
-0.08972,8.72896
-0.07951,9.12096
-0.0693,9.50596
-0.0591,10.05895
-0.04889,10.54195
-0.03868,10.92695
-0.02847,11.86495
-0.01827,12.20445
-0.00806,12.52994
0.00215,12.91144
0.01236,13.14594
0.02256,13.23344
0.03277,13.51344
0.04298,13.66394
0.05319,13.62544
0.06339,13.68144
0.0736,13.70769
0.08381,13.54144
0.09402,13.30344
0.10422,13.15819
0.11443,12.80994
0.12464,12.27794
0.13485,11.9262
0.14505,11.46945
0.15526,10.91295
0.16547,10.47545
0.17568,10.14295
0.18588,9.78071
0.19609,9.46571
0.2063,9.34321
0.21651,9.19796
0.22672,9.02121
0.23692,9.00721
0.24713,8.99146
0.25734,8.92671
0.26754,8.91446
0.27775,8.97046
0.28796,8.97046
0.29817,9.00896
0.30838,9.02646
0.31858,9.06846
0.32879,9.04746
0.339,9.12446
0.34921,9.21021
0.35941,9.23996
0.36962,9.28896
0.37983,9.28896
