Voltage (V),Current (A)
-0.32449,6.06197
-0.31428,5.90097
-0.30408,5.83797
-0.29387,5.80997
-0.28366,5.74347
-0.27346,5.69447
-0.26325,5.73647
-0.25304,5.74347
-0.24283,5.70847
-0.23263,5.79247
-0.22242,5.86247
-0.21221,5.88347
-0.202,5.97797
-0.19179,6.11797
-0.18159,6.20897
-0.17138,6.32097
-0.16117,6.54497
-0.15096,6.73747
-0.14076,6.90897
-0.13055,7.23447
-0.12034,7.57396
-0.11013,7.89246
-0.09993,8.29146
-0.08972,8.76746
-0.07951,9.19446
-0.0693,9.61096
-0.0591,10.15345
-0.04889,10.61895
-0.03868,10.98295
-0.02847,11.43795
-0.01827,11.85095
-0.00806,12.13445
0.00215,12.39694
0.01236,12.71894
0.02256,12.89744
0.03277,12.93244
0.04298,13.16694
0.05319,13.23169
0.06339,13.12844
0.0736,13.11794
0.08381,13.06369
0.09402,12.81169
0.10422,12.47569
0.11443,12.22369
0.12464,11.7827
0.13485,11.18595
0.14505,10.7747
0.15526,10.30045
0.16547,9.77196
0.17568,9.38521
0.18588,9.10696
0.19609,8.81821
0.2063,8.57496
0.21651,8.51021
0.22672,8.41396
0.23692,8.28446
0.24713,8.30196
0.25734,8.2814
0.26754,8.27046
0.27775,8.30295
0.28796,8.32996
0.29817,8.32996
0.30838,8.3654
0.31858,8.38246
0.32879,8.41921
0.339,8.39471
0.34921,8.46296
0.35941,8.54696
0.36962,8.57321
0.37983,8.62046
