Voltage (V),Current (A)
-0.32449,5.32698
-0.31428,5.20798
-0.30408,5.04698
-0.29387,4.99098
-0.28366,4.94198
-0.27346,4.85798
-0.26325,4.80198
-0.25304,4.79498
-0.24283,4.73898
-0.23263,4.70398
-0.22242,4.73898
-0.21221,4.73898
-0.202,4.71798
-0.19179,4.77398
-0.18159,4.83698
-0.17138,4.85798
-0.16117,4.92098
-0.15096,5.02948
-0.14076,5.10998
-0.13055,5.18348
-0.12034,5.35148
-0.11013,5.50897
-0.09993,5.65247
-0.08972,5.88347
-0.07951,6.14247
-0.0693,6.36647
-0.0591,6.57997
-0.04889,6.84247
-0.03868,7.05247
-0.02847,7.21697
-0.01827,7.47597
-0.00806,7.67896
0.00215,7.81896
0.01236,7.98696
0.02256,8.15846
0.03277,8.26171
0.04298,8.33346
0.05319,8.46646
0.06339,8.53296
0.0736,8.52946
0.08381,8.60646
0.09402,8.63796
0.10422,8.56621
0.11443,8.51546
0.12464,8.47871
0.13485,8.33871
0.14505,8.12521
0.15526,7.99046
0.16547,7.76821
0.17568,7.46897
0.18588,7.26247
0.19609,7.05422
0.2063,6.82759
0.21651,6.64209
0.22672,6.54759
0.23692,6.44435
0.24713,6.33147
0.25734,6.35072
0.26754,6.35422
0.27775,6.3271
0.28796,6.37435
0.29817,6.4461
0.30838,6.47672
0.31858,6.51872
0.32879,6.63247
0.339,6.70947
0.34921,6.74972
0.35941,6.89234
0.36962,7.00347
0.37983,7.08397
